"","standindex","age","Input","SoftwoodMerch","SoftwoodFoliage","SoftwoodOther","SoftwoodCoarseRoots","SoftwoodFineRoots","HardwoodMerch","HardwoodFoliage","HardwoodOther","HardwoodCoarseRoots","HardwoodFineRoots","AboveGroundVeryFastSoil","BelowGroundVeryFastSoil","AboveGroundFastSoil","BelowGroundFastSoil","MediumSoil","AboveGroundSlowSoil","BelowGroundSlowSoil","SoftwoodStemSnag","SoftwoodBranchSnag","HardwoodStemSnag","HardwoodBranchSnag","CO2","CH4","CO","Products"
"1",1,1,1,0.0436895502604676,0.0101072859211245,0.025962370186762,0.0101769073585231,0.0075296364552515,0,0,0,0,0,0.00134215670269079,10.8916653953943,15.6038308304397,4.83480282362497e-05,18.9405277258142,0.179870955550448,101.448778042639,0.000130217241343343,9.49322976830354e-05,0,0,4261.05448150034,3.39073387512054,30.5166047825724,345.923266311258
"2",1,2,1,0.145768164417045,0.0301959791758649,0.0804908681006219,0.032817256335131,0.0241157562608332,0,0,0,0,0,0.00682517909333764,9.00410944212398,14.8273572892782,0.00025019284517599,18.6944597930507,0.350740396790598,101.436801325557,0.000689912524062127,0.000472559490421857,0,0,4263.81280905703,3.39073387512054,30.5166047825724,345.923266311258
"3",1,3,1,0.294612010291013,0.0571685865025701,0.155347279007193,0.0651589719254649,0.0474234165023074,0,0,0,0,0,0.0188298855506807,7.44968099491147,14.0912697566723,0.000703182543274949,18.4516064096821,0.51316358823788,101.370487003021,0.00197605564345547,0.00127705348713684,0,0,4266.26647211202,3.39073387512054,30.5166047825724,345.923266311258
"4",1,4,1,0.484816012485835,0.0897625581502568,0.246989164585426,0.106093379059019,0.0762946581601583,0,0,0,0,0,0.0389309140976257,6.17214671786384,13.3940792401621,0.00148170862337586,18.2119487571606,0.667703199593846,101.259831390103,0.00422349113355716,0.00259185861620337,0,0,4268.46593954014,3.39073387512054,30.5166047825724,345.923266311258
"5",1,5,1,0.71269237541825,0.127173254168516,0.35311022738356,0.15496144513042,0.109879195116992,0,0,0,0,0,0.0682329772726018,5.12477437867663,12.7343079832392,0.00264805634304263,17.9754756788175,0.814921659736827,101.113137375925,0.00763097037653984,0.00446881686821488,0,0,4270.45357559971,3.39073387512054,30.5166047825724,345.923266311258
"6",1,6,1,0.975357954364272,0.168805398427376,0.471979301416712,0.211312551841437,0.147471117392819,0,0,0,0,0,0.107490554782441,4.26874248432034,12.1105083898843,0.00425613446116761,17.7421824403453,0.955375716432113,100.937301647285,0.0123700501843081,0.00693866000479006,0,0,4272.26499089451,3.39073387512054,30.5166047825724,345.923266311258
"7",1,7,1,1.27038355711262,0.214181675846354,0.60219253014887,0.274809691259781,0.188450532150161,0,0,0,0,0,0.157177492202059,3.57179679226049,11.5212706915636,0.006353422653763,17.5120697874395,1.08961225660869,100.738053107642,0.0185898853082543,0.0100168939269138,0,0,4273.93016523242,3.39073387512054,30.5166047825724,345.923266311258
"8",1,8,1,1.59562475094623,0.262899764383979,0.742555548617466,0.345181897782485,0.232257876413898,0,0,0,0,0,0.217535535655826,3.00712903978925,10.9652262063684,0.00898214547948001,17.2851431670503,1.21816498909541,100.520150565245,0.0264202879105815,0.0137076256349775,0,0,4275.47437924255,3.39073387512054,30.5166047825724,345.923266311258
"9",1,9,1,1.94912904983025,0.314609093089058,0.892019327491277,0.422196809477941,0.278381348953208,0,0,0,0,0,0.28861180958794,2.55244535842738,10.4410484978162,0.0121800314862366,17.0614120553837,1.34155178067357,100.287546580772,0.0359738889828532,0.0180062562539159,0,0,4276.91898680994,3.39073387512054,30.5166047825724,345.923266311258
"10",1,10,1,2.32908063731236,0.368997050946128,1.04964197551685,0.505643401337138,0.326350364020986,0,0,0,0,0,0.370289617218675,2.18919396205592,9.94745342530385,0.0159808220930698,16.8408893628994,1.46027251928123,100.043523259704,0.0473477756242498,0.0229014700875091,0,0,4278.28205547309,3.39073387512054,30.5166047825724,345.923266311258
