shapefile_name,aidb_name
Newfoundland,Newfoundland
Labrador,Labrador
Nova Scotia,Nova Scotia
Prince Edward Island,Prince Edward Island
New Brunswick,New Brunswick
Quebec,Quebec
Ontario,Ontario
Manitoba,Manitoba
Saskatchewan,Saskatchewan
Alberta,Alberta
British Columbia,British Columbia
Yukon,Yukon Territory
Northwest Territories,Northwest Territories
Nunavut,Nunavut
