"AVGCARB", "PreTypeID"
"145.58", "367"
"145.9", "368"
"146.09", "369"
"146.45", "370"
"147.34", "371"
"148.36", "372"
"149.5", "373"
"149.7", "374"
"150.33", "375"
"150.56", "376"
"151.04", "377"
"152.23", "378"
"152.85", "379"
"154.5", "380"
"154.51", "381"
"154.93", "382"
"155.4", "383"
"155.83", "384"
"156.87", "385"
"160", "386"
"160.04", "387"
"160.63", "388"
"160.64", "389"
"160.99", "390"
"161.19", "391"
"161.34", "392"
"161.45", "393"
"161.6", "394"
"161.7", "395"
"161.86", "396"
"161.95", "397"
"162", "398"
"162.54", "399"
"162.73", "400"
"162.97", "401"
"163.64", "402"
"164.2", "403"
"164.39", "404"
"165.97", "405"
"168.57", "406"
"169.5", "407"
"170.13", "408"
"170.17", "409"
"171.17", "410"
"171.68", "411"
"172.07", "412"
"172.09", "413"
"172.39", "414"
"173.59", "415"
"175.9", "416"
"177.23", "417"
"179.73", "418"
"180.51", "419"
"182.03", "420"
"183.91", "421"
"185.55", "422"
"186.04", "423"
"186.1", "424"
"188.1", "425"
"189.9", "426"
"190.45", "427"
"192.23", "428"
"192.49", "429"
"192.83", "430"
"193.7", "431"
"196.68", "432"
"196.78", "433"
"197.6", "434"
"198.73", "435"
"199.7", "436"
"200.38", "437"
"205.74", "438"
"207.72", "439"
"208.47", "440"
"208.6", "441"
"210.75", "442"
"211.86", "443"
"213.14", "444"
"213.17", "445"
"215.34", "446"
"215.37", "447"
"219.69", "448"
"220.25", "449"
"220.74", "450"
"223.25", "451"
"225.56", "452"
"225.92", "453"
"232.8", "454"
"234.81", "455"
"234.92", "456"
"235.33", "457"
"236.04", "458"
"236.12", "459"
"236.14", "460"
"240.7", "461"
"242.09", "462"
"242.1", "463"
"244.96", "464"
"245.6", "465"
"247.81", "466"
"251.58", "467"
"253.11", "468"
"254.68", "469"
"254.85", "470"
"262.24", "471"
"263.3", "472"
"265.54", "473"
"268.93", "474"
"272.14", "475"
"297.03", "476"
"320.14", "477"
"323.92", "478"
"324.3", "479"
"326.25", "480"
"335.33", "481"
"354.35", "482"
"362.12", "483"
"382.2", "484"
