"","Input.x","Input.y","pixelGroup","merch","Merch","foliage","Foliage","other","Other","coarseRoots","CoarseRoots","fineRoots","FineRoots","stemSnag","StemSnag","branchSnag","BranchSnag","AboveGroundVeryFastSoil.x","AboveGroundVeryFastSoil.y","BelowGroundVeryFastSoil.x","BelowGroundVeryFastSoil.y","AboveGroundFastSoil.x","AboveGroundFastSoil.y","BelowGroundFastSoil.x","BelowGroundFastSoil.y","MediumSoil.x","MediumSoil.y","AboveGroundSlowSoil.x","AboveGroundSlowSoil.y","BelowGroundSlowSoil.x","BelowGroundSlowSoil.y","CO2.x","CO2.y","CH4.x","CH4.y","CO.x","CO.y","Products.x","Products.y","NO2"
"1",1,1,1,9.01881700000208,12.329532183697,0.0265892404197626,3.28387533162363,0.449863579169691,8.78403468810626,1.36044799356652,6.90702918523462,0.377841831266535,1.70045845975184,1.17004218861378,1.48495106919603,0.0444620718313889,0.638692158962273,1.20295150202787,23.6417791846909,0.541128539418998,1.63665751067222,0.600736028720383,5.0753251039174,0.186482081771381,0.877037975860541,3.53244534737595,4.35806690179509,0.0551474750367421,47.4901791296741,0.0332687120036279,90.7404676868058,0,4769.90556309823,0,7.03116532622213,0,63.2781161132525,0,0,0
"2",1,1,2,6.4922489875578,8.84627226067795,0.0114527331122689,2.96164565272664,0.415259157074882,8.05566428728056,0.96182486329913,5.96190293573982,0.291002573172731,1.62326274781339,0.845292600901889,1.06768859194359,0.0416090027488766,0.586116722266011,0.926699035704492,21.5616165234793,0.418249647864293,1.56256181515989,0.527286518908671,4.61410536016555,0.134097004113416,0.759694416379494,2.54861708845007,3.12876055136994,0.0427248141081236,43.2696805597872,0.0255834399323477,82.7178074513484,0,4336.10317332379,0,6.43053529258616,0,57.8726982447009,0,0,0
"3",1,1,3,14.2139828893609,19.507090425299,0.00809668095220121,1.40329926724051,0.0434257704542191,5.65350623184809,2.14275255800424,7.3397028832986,0.512960398207498,1.73012620695162,1.86145055562643,2.36607808936129,0.0053479473101572,0.412784842102276,1.59189328348853,12.1977076309435,0.73137472944505,1.66515205498892,0.365792630542597,3.678287389012,0.285518473605741,0.930322476201647,5.64475262550364,6.96765861555957,0.0706768164787897,27.6391669611011,0.0453794565710375,67.1036641965665,0,3338.13697747108,0,4.37047270343327,0,39.3325992163478,0,0,0
"4",1,1,4,16.1321122371118,22.1435037858736,0.0329056722122767,2.47703511181457,0.651119976688245,9.60811673017584,2.58887429862344,8.78991071863896,0.574317194657397,1.81017598670341,2.10285065997048,2.67718591381972,0.0611295171670857,0.695730662111362,1.80723320599894,18.8715209891397,0.819983730065405,1.74228658807504,0.880308026287913,5.65444818426579,0.34991734951774,1.11012833560132,6.37146045340717,7.8803986782913,0.0864761132527263,40.3815558450916,0.0513107532635097,84.7827904850596,0,4266.78489999984,0,6.10224278671727,0,54.9180927613962,0,0,0
"5",1,1,5,9.00175622604289,12.3576357526507,0.0254862616046558,3.28551316874753,0.433919343281725,8.78612683797939,1.35494028150433,6.91346934902774,0.37673635118789,1.70092360864636,1.16677067062211,1.48515589024083,0.04293018028185,0.638938312513127,1.19870800566898,23.6573767157869,0.539600702301411,1.63716823891058,0.587119716553386,5.07987135704105,0.185855040281097,0.878363358240489,3.50323648326831,4.32333252779878,0.0547431069648306,47.6920568715068,0.0331719649494413,90.8326576886009,0,4774.38572743707,0,7.03116532622213,0,63.2781161132525,0,0,0
"6",1,1,6,6.4773397923409,8.86386829977001,0.0107944094248909,2.96215823129643,0.399943408214146,8.05698532508708,0.95707959657021,5.96608068889964,0.289876700544274,1.62364710692529,0.842806682337395,1.06773659723963,0.0401170222159283,0.58628870069751,0.922530790671142,21.5681409641374,0.416652851814146,1.56299135220407,0.513957934135717,4.61772907949284,0.133488104483325,0.760641026899793,2.52757844914243,3.10387436645131,0.042353910508569,43.4507553712205,0.0254832455863708,82.8051510980298,0,4340.18814634906,0,6.43053529258616,0,57.8726982447009,0,0,0
"7",1,1,7,16.0998357157149,22.1920090871097,0.031784448084541,2.47931863091375,0.631640560245205,9.61481609960373,2.57942649870486,8.80036751924694,0.573107315856252,1.81066462041068,2.09658508481352,2.677128095489,0.0593562803410486,0.696402141356897,1.80305940984153,18.8914042609459,0.818375729289484,1.74282246201577,0.86538215449846,5.66331826883381,0.3490835605185,1.1122548577768,6.31853940608826,7.81734116793606,0.085974683852454,40.5525192347936,0.0512061992467873,84.860557625166,0,4270.7531451899,0,6.10224278671727,0,54.9180927613962,0,0,0
"8",1,1,8,8.98394116726279,12.3848976286834,0.0244293071735287,3.28708334955646,0.418505056855323,8.78810896748552,1.34941156588924,6.91970087010974,0.375624242972919,1.70137298037371,1.16354681161473,1.48548942768958,0.0414465979098811,0.639171557464975,1.19448013265252,23.6723365566683,0.538061766266673,1.63766146158924,0.573839257739673,5.08423034569816,0.185221170519537,0.879652616101432,3.47447021814978,4.28925308066561,0.054345325973291,47.8919616368423,0.0330745428522183,90.9257947860272,0,4778.86918903528,0,7.03116532622213,0,63.2781161132525,0,0,0
"9",1,1,9,6.46190108730294,8.88085876914232,0.0101736364367375,2.96264103968672,0.385161655946559,8.05822612478385,0.952347259311809,5.97010345819464,0.288751562429984,1.62401680867873,0.840347426897325,1.06786829167541,0.0386742765291681,0.586450287796136,0.918401445439242,21.5743076382445,0.415056254243755,1.56340435352661,0.500973524017438,4.62118291842708,0.132878385856043,0.761557892012978,2.50685453957119,3.07945431710048,0.0419899222974076,43.6298691199067,0.0253830934614741,82.893322944174,0,4344.27522092587,0,6.43053529258616,0,57.8726982447009,0,0,0
"10",1,1,10,8.84038814754804,12.5541411589311,0.0181664601800089,3.29640165306133,0.324180320232125,8.79935299047167,1.3102518886599,6.95803288588171,0.367677014017675,1.70412197706163,1.14188542178501,1.49070016430292,0.0323110678174401,0.640495281436214,1.16527306108234,23.7612836058767,0.527016249311663,1.64067476067911,0.48984586964152,5.11008539560367,0.180617249647771,0.887724734414197,3.2849258745918,4.06833166064706,0.0517351202601268,49.2365987267502,0.0323760746820616,91.6029116327253,0,4810.33840093222,0,7.03116532622213,0,63.2781161132525,0,0,0
